Data;Nível (cm)
07/11/2018;560             
07/11/2018;560             
07/11/2018;560             
07/11/2018;560             
07/11/2018;560             
07/11/2018;560             
07/11/2018;561             
07/11/2018;561             
07/11/2018;561             
07/11/2018;561             
07/11/2018;561             
07/11/2018;561             
07/11/2018;561             
07/11/2018;561             
07/11/2018;561             
07/11/2018;561             
07/11/2018;561             
07/11/2018;562             
07/11/2018;562             
07/11/2018;561             
07/11/2018;562             
07/11/2018;561             
07/11/2018;562             
07/11/2018;562             
07/11/2018;562             
07/11/2018;562             
07/11/2018;562             
07/11/2018;562             
07/11/2018;562             
07/11/2018;562             
07/11/2018;562             
07/11/2018;562             
07/11/2018;562             
07/11/2018;563             
07/11/2018;563             
07/11/2018;562             
07/11/2018;563             
07/11/2018;562             
07/11/2018;562             
07/11/2018;563             
07/11/2018;563             
07/11/2018;563             
07/11/2018;563             
07/11/2018;563             
07/11/2018;563             
07/11/2018;563             
07/11/2018;563             
07/11/2018;563             
07/11/2018;563             
07/11/2018;563             
07/11/2018;563             
07/11/2018;563             
07/11/2018;563             
07/11/2018;563             
07/11/2018;563             
07/11/2018;563             
07/11/2018;563             
07/11/2018;563             
07/11/2018;564             
07/11/2018;564             
07/11/2018;564             
07/11/2018;562             
07/11/2018;564             
07/11/2018;564             
07/11/2018;564             
07/11/2018;564             
07/11/2018;566             
07/11/2018;564             
07/11/2018;564             
07/11/2018;564             
07/11/2018;564             
07/11/2018;564             
07/11/2018;565             
07/11/2018;565             
07/11/2018;565             
07/11/2018;565             
07/11/2018;565             
07/11/2018;565             
07/11/2018;565             
07/11/2018;565             
07/11/2018;565             
07/11/2018;565             
07/11/2018;565             
07/11/2018;565             
07/11/2018;565             
07/11/2018;565             
07/11/2018;565             
07/11/2018;565             
07/11/2018;566             
07/11/2018;566             
08/11/2018;566             
08/11/2018;566             
08/11/2018;566             
08/11/2018;566             
08/11/2018;566             
08/11/2018;566             
08/11/2018;566             
08/11/2018;566             
08/11/2018;566             
08/11/2018;566             
08/11/2018;566             
08/11/2018;566             
08/11/2018;566             
08/11/2018;566             
08/11/2018;566             
08/11/2018;566             
08/11/2018;567             
08/11/2018;567             
08/11/2018;567             
08/11/2018;567             
08/11/2018;567             
08/11/2018;567             
08/11/2018;567             
08/11/2018;567             
08/11/2018;567             
08/11/2018;567             
08/11/2018;567             
08/11/2018;567             
08/11/2018;567             
08/11/2018;567             
08/11/2018;567             
08/11/2018;567             
08/11/2018;567             
08/11/2018;567             
08/11/2018;568             
08/11/2018;567             
08/11/2018;567             
08/11/2018;567             
08/11/2018;568             
08/11/2018;568             
08/11/2018;568             
08/11/2018;568             
08/11/2018;568             
08/11/2018;568             
08/11/2018;568             
08/11/2018;568             
08/11/2018;568             
08/11/2018;568             
08/11/2018;568             
08/11/2018;568             
08/11/2018;568             
08/11/2018;568             
08/11/2018;568             
08/11/2018;568             
08/11/2018;568             
08/11/2018;568             
08/11/2018;569             
08/11/2018;569             
08/11/2018;569             
08/11/2018;569             
08/11/2018;569             
08/11/2018;569             
08/11/2018;569             
08/11/2018;569             
08/11/2018;569             
08/11/2018;569             
08/11/2018;569             
08/11/2018;569             
08/11/2018;569             
08/11/2018;569             
08/11/2018;569             
08/11/2018;569             
08/11/2018;569             
08/11/2018;569             
08/11/2018;569             
08/11/2018;569             
08/11/2018;569             
08/11/2018;569             
08/11/2018;570             
08/11/2018;569             
08/11/2018;570             
08/11/2018;570             
08/11/2018;570             
08/11/2018;570             
08/11/2018;570             
08/11/2018;570             
08/11/2018;570             
08/11/2018;570             
08/11/2018;570             
08/11/2018;570             
08/11/2018;570             
08/11/2018;570             
08/11/2018;570             
08/11/2018;570             
08/11/2018;570             
08/11/2018;570             
09/11/2018;570             
09/11/2018;570             
09/11/2018;570             
09/11/2018;571             
09/11/2018;571             
09/11/2018;571             
09/11/2018;571             
09/11/2018;571             
09/11/2018;571             
09/11/2018;571             
09/11/2018;571             
09/11/2018;571             
09/11/2018;571             
09/11/2018;571             
09/11/2018;571             
09/11/2018;571             
09/11/2018;571             
09/11/2018;571             
09/11/2018;571             
09/11/2018;571             
09/11/2018;571             
09/11/2018;571             
09/11/2018;571             
09/11/2018;571             
09/11/2018;571             
09/11/2018;572             
09/11/2018;572             
09/11/2018;572             
09/11/2018;572             
09/11/2018;572             
09/11/2018;572             
09/11/2018;572             
09/11/2018;572             
09/11/2018;572             
09/11/2018;572             
09/11/2018;572             
09/11/2018;572             
09/11/2018;572             
09/11/2018;572             
09/11/2018;572             
09/11/2018;572             
09/11/2018;572             
09/11/2018;572             
09/11/2018;572             
09/11/2018;572             
09/11/2018;572             
09/11/2018;572             
09/11/2018;572             
09/11/2018;572             
09/11/2018;572             
09/11/2018;572             
09/11/2018;572             
09/11/2018;572             
09/11/2018;572             
09/11/2018;572             
09/11/2018;572             
09/11/2018;572             
09/11/2018;572             
09/11/2018;572             
09/11/2018;573             
09/11/2018;572             
09/11/2018;573             
09/11/2018;573             
09/11/2018;572             
09/11/2018;572             
09/11/2018;572             
09/11/2018;573             
09/11/2018;572             
09/11/2018;573             
09/11/2018;573             
09/11/2018;573             
09/11/2018;573             
09/11/2018;573             
09/11/2018;573             
09/11/2018;573             
09/11/2018;573             
09/11/2018;573             
09/11/2018;573             
09/11/2018;573             
09/11/2018;573             
09/11/2018;573             
09/11/2018;573             
09/11/2018;573             
09/11/2018;573             
09/11/2018;573             
09/11/2018;573             
09/11/2018;573             
09/11/2018;573             
09/11/2018;573             
09/11/2018;573             
09/11/2018;573             
09/11/2018;573             
09/11/2018;573             
09/11/2018;573             
09/11/2018;573             
09/11/2018;573             
10/11/2018;573             
10/11/2018;573             
10/11/2018;573             
10/11/2018;573             
10/11/2018;573             
10/11/2018;573             
10/11/2018;573             
10/11/2018;573             
10/11/2018;573             
10/11/2018;573             
10/11/2018;574             
10/11/2018;574             
10/11/2018;573             
10/11/2018;573             
10/11/2018;574             
10/11/2018;574             
10/11/2018;574             
10/11/2018;573             
10/11/2018;574             
10/11/2018;574             
10/11/2018;573             
10/11/2018;574             
10/11/2018;574             
10/11/2018;574             
10/11/2018;574             
10/11/2018;574             
10/11/2018;574             
10/11/2018;574             
10/11/2018;574             
10/11/2018;574             
10/11/2018;574             
10/11/2018;574             
10/11/2018;574             
10/11/2018;574             
10/11/2018;574             
10/11/2018;574             
10/11/2018;574             
10/11/2018;574             
10/11/2018;574             
10/11/2018;574             
10/11/2018;574             
10/11/2018;574             
10/11/2018;574             
10/11/2018;574             
10/11/2018;574             
10/11/2018;574             
10/11/2018;574             
10/11/2018;574             
10/11/2018;574             
10/11/2018;574             
10/11/2018;574             
10/11/2018;574             
10/11/2018;574             
10/11/2018;574             
10/11/2018;574             
10/11/2018;574             
10/11/2018;574             
10/11/2018;574             
10/11/2018;574             
10/11/2018;574             
10/11/2018;574             
10/11/2018;574             
10/11/2018;574             
10/11/2018;574             
10/11/2018;574             
10/11/2018;574             
10/11/2018;574             
10/11/2018;573             
10/11/2018;574             
10/11/2018;574             
10/11/2018;574             
10/11/2018;573             
10/11/2018;573             
10/11/2018;573             
10/11/2018;573             
10/11/2018;574             
10/11/2018;573             
10/11/2018;574             
10/11/2018;574             
10/11/2018;573             
10/11/2018;573             
10/11/2018;573             
10/11/2018;573             
10/11/2018;574             
10/11/2018;573             
10/11/2018;573             
10/11/2018;574             
10/11/2018;573             
10/11/2018;574             
10/11/2018;573             
10/11/2018;574             
10/11/2018;574             
10/11/2018;573             
10/11/2018;573             
10/11/2018;573             
10/11/2018;573             
11/11/2018;573             
11/11/2018;574             
11/11/2018;573             
11/11/2018;573             
11/11/2018;573             
11/11/2018;573             
11/11/2018;573             
11/11/2018;573             
11/11/2018;573             
11/11/2018;573             
11/11/2018;573             
11/11/2018;573             
11/11/2018;573             
11/11/2018;573             
11/11/2018;573             
11/11/2018;573             
11/11/2018;573             
11/11/2018;573             
11/11/2018;573             
11/11/2018;573             
11/11/2018;573             
11/11/2018;573             
11/11/2018;573             
11/11/2018;573             
11/11/2018;573             
11/11/2018;573             
11/11/2018;573             
11/11/2018;573             
11/11/2018;573             
11/11/2018;573             
11/11/2018;573             
11/11/2018;573             
11/11/2018;573             
11/11/2018;573             
11/11/2018;573             
11/11/2018;573             
11/11/2018;573             
11/11/2018;573             
11/11/2018;573             
11/11/2018;573             
11/11/2018;573             
11/11/2018;573             
11/11/2018;573             
11/11/2018;573             
11/11/2018;573             
11/11/2018;573             
11/11/2018;573             
11/11/2018;573             
11/11/2018;573             
11/11/2018;573             
11/11/2018;573             
11/11/2018;573             
11/11/2018;573             
11/11/2018;572             
11/11/2018;573             
11/11/2018;572             
11/11/2018;573             
11/11/2018;572             
11/11/2018;572             
11/11/2018;572             
11/11/2018;572             
11/11/2018;572             
11/11/2018;572             
11/11/2018;572             
11/11/2018;572             
11/11/2018;572             
11/11/2018;572             
11/11/2018;572             
11/11/2018;572             
11/11/2018;572             
11/11/2018;572             
11/11/2018;572             
11/11/2018;572             
11/11/2018;572             
11/11/2018;572             
11/11/2018;572             
11/11/2018;572             
11/11/2018;572             
11/11/2018;572             
11/11/2018;569             
11/11/2018;571             
11/11/2018;571             
11/11/2018;571             
11/11/2018;571             
11/11/2018;571             
11/11/2018;572             
11/11/2018;571             
11/11/2018;571             
11/11/2018;571             
11/11/2018;571             
11/11/2018;571             
11/11/2018;571             
11/11/2018;571             
11/11/2018;571             
11/11/2018;571             
11/11/2018;571             
12/11/2018;571             
12/11/2018;571             
12/11/2018;571             
12/11/2018;571             
12/11/2018;571             
12/11/2018;571             
12/11/2018;571             
12/11/2018;571             
12/11/2018;571             
12/11/2018;571             
12/11/2018;571             
12/11/2018;571             
12/11/2018;571             
12/11/2018;570             
12/11/2018;571             
12/11/2018;570             
12/11/2018;570             
12/11/2018;571             
12/11/2018;570             
12/11/2018;570             
12/11/2018;570             
12/11/2018;570             
12/11/2018;570             
12/11/2018;570             
12/11/2018;570             
12/11/2018;570             
12/11/2018;570             
12/11/2018;570             
12/11/2018;570             
12/11/2018;570             
12/11/2018;570             
12/11/2018;570             
12/11/2018;569             
12/11/2018;570             
12/11/2018;570             
12/11/2018;570             
12/11/2018;570             
12/11/2018;570             
12/11/2018;570             
12/11/2018;570             
12/11/2018;570             
12/11/2018;569             
12/11/2018;570             
12/11/2018;569             
12/11/2018;569             
12/11/2018;569             
12/11/2018;569             
12/11/2018;569             
12/11/2018;569             
12/11/2018;569             
12/11/2018;569             
12/11/2018;569             
12/11/2018;569             
12/11/2018;569             
12/11/2018;569             
12/11/2018;569             
12/11/2018;569             
12/11/2018;569             
12/11/2018;569             
12/11/2018;569             
12/11/2018;569             
12/11/2018;568             
12/11/2018;568             
12/11/2018;568             
12/11/2018;568             
12/11/2018;568             
12/11/2018;568             
12/11/2018;568             
12/11/2018;568             
12/11/2018;568             
12/11/2018;568             
12/11/2018;568             
12/11/2018;568             
12/11/2018;568             
12/11/2018;568             
12/11/2018;568             
12/11/2018;568             
12/11/2018;568             
12/11/2018;568             
12/11/2018;568             
12/11/2018;567             
12/11/2018;568             
12/11/2018;567             
12/11/2018;567             
12/11/2018;567             
12/11/2018;567             
12/11/2018;567             
12/11/2018;567             
12/11/2018;567             
12/11/2018;567             
12/11/2018;567             
12/11/2018;567             
12/11/2018;567             
12/11/2018;567             
12/11/2018;567             
12/11/2018;567             
13/11/2018;567             
13/11/2018;567             
13/11/2018;567             
13/11/2018;567             
13/11/2018;567             
13/11/2018;567             
13/11/2018;567             
13/11/2018;567             
